Latin_name,Common_name,Tree_Hollow_Use,Head_Body_Length_mm,Body_Mass_g
Allocebus trichotis,Hairy-eared Dwarf Lemur,1,139.5,81.25
Aotus azarae,Azara’s Night Monkey,0,335,1285
Aotus brumbacki,Brumback’s Night Monkey,1,,
Aotus griseimembra,Gray-legged Night Monkey,0,,966
Aotus jorgehernandezi,Hernández-Camacho’s Night Monkey,0,,
Aotus lemurinus,Lemurine Night Monkey,0,315.5,889.85
Aotus miconax,Andean Night Monkey,1,480,
Aotus nancymaae,Ma’s Night Monkey,1,314,787.5
Aotus nigriceps,Black-headed Night Monkey,1,,957.5
Aotus trivirgatus,Humboldt’s Night Monkey,0,310,774.5
Aotus vociferans,Spix’s Night Monkey,1,400,703
Aotus zonalis,Panamanian Night Monkey,1,,902.5
Arctocebus aureus,Golden Angwantibo,0,244,210
Arctocebus calabarensis,Calabar Angwantibo,0,241.5,308
Avahi betsileo,Betsileo Woolly Lemur,0,209.5,1087.5
Avahi cleesei,Bemaraha Woolly Lemur,0,262.5,981.25
Avahi laniger,Eastern Woolly Lemur,0,285,1175
Avahi meridionalis,Southern Woolly Lemur,0,254.5,1075
Avahi mooreorum,Masoala Woolly Lemur,0,241,920
Avahi occidentalis,Western Woolly Lemur,0,286,892.5
Avahi peyrierasi,Peyriéras’ Woolly Lemur,0,297,1080
Avahi ramanantsoavani,Manombo Woolly Lemur,0,265,988.75
Avahi unicolor,Sambirano Woolly Lemur,0,270,850
Callicebus barbarabrownae,Blond Titi,0,345,
Callicebus coimbrai,Coimbra-Filho’s Titi,0,353.5,1165
Callicebus melanochir,Southern Bahian Titi,0,350,1400
Callicebus nigrifrons,Black-fronted Titi,0,350,1325
Callicebus personatus,Masked Titi,0,370,1325
Callimico goeldii,Goeldi's Monkey,0,220,360.5
Callithrix aurita,Buffy-tufted-ear Marmoset,0,220,425
Callithrix flaviceps,Buffy-headed Marmoset,0,225,430
Callithrix geoffroyi,Geoffroy's Tufted-ear Marmoset,0,205,359
Callithrix jacchus,Common Marmoset,0,185,320
Callithrix kuhlii,Wied's Black-tufted-ear Marmoset,0,215,375
Callithrix penicillata,Black-tufted-ear Marmoset,0,215,325.5
Carlito syrichta,Philippine Tarsier,0,118.95,130.225
Cebuella niveiventris,Eastern Pygmy Marmoset,0,138,124.75
Cebuella pygmaea,Western Pygmy Marmoset,0,138,124.75
Cephalopachus bancanus,Western Tarsier,0,121.445,123.75
Cheirogaleus andysabini,Montagne d'Ambre Dwarf Lemur,0,,
Cheirogaleus crossleyi,Crossley's Dwarf Lemur,1,264,
